Fault_Num,Fault_Name
175,Drive Status Word Spare 32 Maximum Range Fault..!
176,Spare_176
177,Spare_177
178,Spare_178
179,Spare_179
180,Spare_180
181,Shift 2 Forward Feeback Fault..!
182,Shift 2 Reverse Feedback Fault..!
183,Shift2 Feebacks are Malfunction Fault..!
184,Spare_184
185,Spare_185
186,Gate2 Forward Feedback Fault..!
187,Gate2 Reverse Feedback Fault..!
188,Gate2 Feedbacks are Malfunctioning Fault..!
189,Spare_189
190,Spare_190
191,Gate1 Forward Feedback Fault..!
192,Gate1 Reverse Feedback Fault..!
193,Gate1 Feedbacks are Malfunctioning Fault..!
194,Spare_194
195,Spare_195
196,Shift 1 Forward Feeback Fault..!
197,Shift 1 Reverse Feedback Fault..!
198,Shift 1 Feebacks are Malfunction Fault..!
199,Spare_199
200,Spare_200
